ID,pixelcount,UTM
3382197,378,33N
3382179,12,33N
3382183,2,33N
3382174,14,33N
3389906,0,33N
3389910,420,33N
3389921,0,33N
3389909,17,33N
3389904,0,33N
3389907,11,33N
3389908,30,33N
3389905,4,33N
3389914,653,33N
3389916,660,33N
3538037,6,33N
3538036,53,33N
3538034,127,33N
3538032,215,33N
3538038,92,33N
3538033,6,33N
3538035,238,33N
3537332,162,33N
3537331,128,33N
3537330,223,33N
3537333,293,33N
3543178,0,33N
3543179,4,33N
3543182,0,33N
3543180,10,33N
3543183,194,33N
3543188,219,33N
3543189,103,33N
3543184,144,33N
3543181,6,33N
3543185,72,33N
3543186,27,33N
3543187,238,33N
3543897,1,33N
3543898,12,33N
3544605,44,33N
3544604,142,33N
3544606,71,33N
3544603,452,33N
3546235,380,33N
3546236,370,33N
3546238,62,33N
3609568,55,33N
3609569,41,33N
3615732,0,33N
3633253,27,33N
3633255,145,33N
3633254,6,33N
3633251,3,33N
3633252,24,33N
3634800,0,33N
3634804,2,33N
3634801,10,33N
3634806,225,33N
3634797,176,33N
3634798,15,33N
3647788,46,33N
3718340,8,33N
3723090,55,33N
3723096,65,33N
3723097,250,33N
3723092,7,33N
3723098,112,33N
3723091,0,33N
3723094,0,33N
3723093,1,33N
3723095,18,33N
3737377,467,33N
3737378,302,33N
3737376,16,33N
3747826,300,33N
3747827,10,33N
3747828,5,33N
3752822,12,33N
3752821,0,33N
3752820,75,33N
3752815,0,33N
3752819,0,33N
3752816,98,33N
3752813,7,33N
3752811,0,33N
3752814,0,33N
3752812,0,33N
3752809,0,33N
3752824,0,33N
3759420,0,33N
3759421,0,33N
3759422,48,33N
3761162,0,33N
3761166,256,33N
3761167,205,33N
3761177,0,33N
3761165,45,33N
3761172,0,33N
3761178,262,33N
3761164,66,33N
3761182,0,33N
3761175,164,33N
3767284,105,33N
3767285,366,33N
3768763,408,33N
3768767,0,33N
3768774,0,33N
3768766,282,33N
3768775,216,33N
3768786,15,33N
3768771,404,33N
3768770,11,33N
3768780,369,33N
